answer_llm,answer_original,document,question,course
"If you cannot attend a session, everything is recorded, so you won’t miss anything. You will have the opportunity to ask your questions in advance for office hours, and those questions will be addressed during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,What happens if I cannot attend a session?,machine-learning-zoomcamp
"Yes, if you miss a class, everything is recorded, so you won’t miss anything. You can also ask your questions for office hours in advance, and they will be covered during the live stream. Additionally, you can ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Is there a way to catch up if I miss a class?,machine-learning-zoomcamp
"If you miss a live session, you won't miss anything because everything is recorded. You can submit your questions for office hours in advance, and they will be addressed during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How can I ask questions if I miss a live session?,machine-learning-zoomcamp
"Yes, there are recordings available for missed sessions. Everything is recorded, so you won’t miss anything. Additionally, office hours are also recorded, allowing you to catch up on any live discussions.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Are there recordings available for missed sessions?,machine-learning-zoomcamp
"If you can't make it to the session, don't worry! Everything is recorded, so you won’t miss anything. You can submit your questions for office hours in advance, and those will be addressed during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,How do I participate if I can't make it to the session?,machine-learning-zoomcamp
"The course includes the bare minimum level of theory, focusing more on practice. The theory covered will be at an intuitive level rather than in-depth derivations. For example, while the course will not derive the gradient update rule for logistic regression, it will cover how to use logistic regression and interpret the results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,What level of theory is included in the course?,machine-learning-zoomcamp
"The emphasis in the course is on practical application rather than theory. While some basic theoretical concepts are covered at an intuitive level, the primary focus is on hands-on practice and the application of techniques, such as using logistic regression and interpreting results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the emphasis on theory or practical application?,machine-learning-zoomcamp
"No, we will not derive the gradient update rule for logistic regression. The course focuses more on practice, and the theory will only be covered at an intuitive level.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will we learn the mathematical derivations like gradient update in logistic regression?,machine-learning-zoomcamp
"The course focuses more on understanding results rather than deriving formulas. While some theory will be covered, it will only be on an intuitive level, and the emphasis is primarily on practical application and usage of concepts like logistic regression, rather than the derivation of formulas.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Does the course focus on understanding results or deriving formulas?,machine-learning-zoomcamp
"The theoretical knowledge provided in this course will be minimal, as the focus is primarily on practical applications. The course will cover theory only at an intuitive level, without delving into complex derivations. For example, while the use of logistic regression will be discussed, the course will not derive the gradient update rule for it. Additionally, some linear algebra concepts will be introduced, but there will be very few formulas, focusing mainly on coding.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,What kind of theoretical knowledge will be provided in this course?,machine-learning-zoomcamp
"Yes! You can take the course without math knowledge. While some linear algebra will be covered, the course primarily focuses on code with very few formulas. This makes it accessible for those who may not have a strong math background.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can someone without math knowledge take this course?,machine-learning-zoomcamp
"No, you will not need to understand a lot of math formulas during the course. There will be very few formulas, mostly focusing on code, and only some linear algebra will be covered.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Will I need to understand a lot of math formulas during the course?,machine-learning-zoomcamp
"You can find helpful videos for learning linear algebra, such as ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev and the excellent playlist ""Vectors | Chapter 1, Essence of Linear Algebra"" by 3Blue1Brown.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Where can I find helpful videos for learning linear algebra?,machine-learning-zoomcamp
"Yes, there is a community where you can ask questions if you get stuck on math topics in this course. You are encouraged to never hesitate to ask the community for help if you have any questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is there a community where I can ask questions if I get stuck on math topics in this course?,machine-learning-zoomcamp
"Yes, there are recommended resources like video tutorials on linear algebra for the course. You can watch ""ML Zoomcamp 1.8 - Linear Algebra Refresher"" by Alexey Grigorev and the excellent playlist ""Vectors | Chapter 1, Essence of Linear Algebra"" from 3Blue1Brown.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources like video tutorials on linear algebra recommended by the course?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it is normal as the process is automated. You should eventually receive the email. If you still haven't received it, check your promotions tab in Gmail as well as your spam folder. Additionally, if you have unsubscribed from the newsletter, you won't receive course-related updates. To stay informed, you can join the #course-ml-zoomcamp channel in Slack and the announcements telegram channel.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Why haven't I received a confirmation email after filling the form?,machine-learning-zoomcamp
"If you haven't received the email after filling out the form, it is advised to check your promotions tab in Gmail as well as your spam folder. The confirmation process is automated, so you should receive the email eventually. If you unsubscribed from the newsletter, note that you won't receive any course-related updates either. To ensure you stay informed, you can join the #course-ml-zoomcamp channel in Slack and the telegram channel for announcements. This will keep you up to date with the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is there anything I can do if I haven't received the email?,machine-learning-zoomcamp
"Yes, your email could be in another folder such as promotions or spam. If you haven't received a confirmation email, it's recommended to check your promotions tab in Gmail as well as the spam folder.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Could my email be in another folder like promotions or spam?,machine-learning-zoomcamp
"If you unsubscribed from the newsletter, you won't receive course-related updates. However, you can stay informed by joining the #course-ml-zoomcamp channel on Slack and the telegram channel with announcements, which is sufficient to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What happens if I unsubscribed from the newsletter?,machine-learning-zoomcamp
"If you didn't receive the email with course updates, check your promotions tab in Gmail and your spam folder, as the process is automated and you should receive it eventually. If you have unsubscribed from the newsletter, you won’t receive course-related updates. To stay updated, join the #course-ml-zoomcamp channel in Slack and the telegram channel with announcements. This will ensure you don’t miss any important information about the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay updated about the course if I didn’t get the email?,machine-learning-zoomcamp
"Yes, you can extend the course duration by engaging in extra activities such as an additional project or writing an article. The course is approximately 4 months long, but it may take longer if you choose to do extra activities.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can I extend the course duration if I do extra activities?,machine-learning-zoomcamp
"The expected timeframe to finish the course is approximately 4 months, but it may take longer if you choose to engage in extra activities such as an additional project or article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the expected timeframe to finish the course?,machine-learning-zoomcamp
"Yes, it is possible for the course to take longer than 4 months. While the course is designed to last approximately 4 months, it may take more time if you choose to engage in additional activities such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible for the course to take longer than 4 months?,machine-learning-zoomcamp
"You should allocate around 10 hours per week to complete the course, which lasts approximately 4 months. If you plan to engage in extra activities, it may take longer.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How much time should I allocate to complete the course?,machine-learning-zoomcamp
"Yes, additional projects will affect the overall course length. The course is approximately 4 months, but it may take longer if you choose to engage in extra activities, like doing additional projects or writing articles.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Will additional projects affect the overall course length?,machine-learning-zoomcamp
You should expect to dedicate around 10 hours per week to the course.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours weekly should I expect to dedicate?,machine-learning-zoomcamp
The time analysis for this course was conducted by Timur Kamaliev.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who conducted the time analysis for this course?,machine-learning-zoomcamp
"Yes, there is a detailed analysis of past students' time commitment. Timur Kamaliev conducted an analysis of how much time students from the previous cohort needed to spend on different modules and projects. You can find the full article for more information.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Is there a detailed analysis of past students' time commitment?,machine-learning-zoomcamp
"Students from the last cohort spent approximately 10 hours per week on the course, which includes time spent on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students from the last cohort spend on projects?,machine-learning-zoomcamp
"You can find the full article on time analysis by referring to the detailed analysis conducted by Timur Kamaliev, which outlines how much time students from the previous cohort needed to spend on different modules and projects.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the full article on time analysis?,machine-learning-zoomcamp
"To receive a certificate, you must submit at least 2 out of 3 projects and review 3 peers' projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"No, completing all projects is not mandatory for certification. You only need to submit at least 2 out of 3 projects and review 3 peers’ projects by the deadline to receive the certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is completing all projects mandatory for certification?,machine-learning-zoomcamp
"To earn a certificate, you must complete at least 2 out of 3 projects and review 3 peers' projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How many peer reviews must I complete to earn a certificate?,machine-learning-zoomcamp
"Yes, there is a deadline to meet for obtaining the certificate. To receive a certificate, you need to finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there a deadline to meet for obtaining the certificate?,machine-learning-zoomcamp
"You can see the appearance of the certificate by following the provided links in the answer to the question ""Will I get a certificate?"" in the General course-related questions section. There is a version with a robot and one without a robot.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Where can I see the appearance of the certificate?,machine-learning-zoomcamp
"Yes, it is possible to obtain a certificate even if the midterm project was not completed, as long as you finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Is it still possible to obtain a certificate if the midterm project was not completed?,machine-learning-zoomcamp
"Yes, you can receive the course certificate despite not finishing the midterm project, as long as you submit at least 2 out of 3 projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Can I receive the course certificate despite not finishing the midterm project?,machine-learning-zoomcamp
"Yes, you may still be eligible for a certificate even if you didn't submit the midterm project. You need to submit at least 2 out of 3 course projects and review 3 peers’ projects by the deadline to qualify for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for a certificate if I didn't submit the midterm project?,machine-learning-zoomcamp
"Yes, missing the midterm project is not a barrier to getting a certificate. As long as you finish at least 2 out of 3 projects and review 3 peers’ projects by the deadline, you will still be eligible for a certificate.","Yes, it's possible. See the previous answer.",1d644223,Is missing the midterm project a barrier to getting a certificate?,machine-learning-zoomcamp
"Yes, you can still qualify for a certificate without completing the midterm project. You need to submit at least 2 out of 3 projects and review 3 peers' projects by the deadline to receive a certificate.","Yes, it's possible. See the previous answer.",1d644223,Do I qualify for a certificate without completing the midterm project?,machine-learning-zoomcamp
"To enroll in this course, you should have a basic understanding of Python. Specifically, you need to know how to run a Jupyter notebook, import libraries, declare variables, and perform important operations related to data analysis. If you're familiar with these concepts, you know enough to participate. If not, it's recommended to read the provided article and consider joining the ""Introduction to Python"" course for additional preparation.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How much prerequisite knowledge of Python is necessary for this course?,machine-learning-zoomcamp
"You can find a free online course to learn Python basics for data analysis on the OpenClassrooms e-learning platform. The course is titled ""Learn Python Basics for Data Analysis"" and covers essential topics such as how to run a Jupyter notebook, import libraries, declare variables, and important operations for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I find a free online course to learn Python basics for data analysis?,machine-learning-zoomcamp
"For data analysis in this course, it's important to have basic Python skills including:

- How to run a Jupyter notebook
- How to import libraries and understand what libraries are
- How to declare a variable and understand what variables are
- Important operations relevant to data analysis

If you are unfamiliar with these concepts, it's recommended to read an introductory article and consider taking a Python basics course, such as the free course on OpenClassrooms titled ""Learn Python Basics for Data Analysis.""","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic Python skills are important to have for data analysis in this course?,machine-learning-zoomcamp
"To ensure you're prepared with enough Python knowledge, it is recommended that you check a specific article that outlines the essential Python skills needed. If you are not familiar with the content of that article, you should read it and consider taking the ""Introduction to Python – Machine Learning Bookcamp."" Additionally, you can follow a free course on the OpenClassrooms e-learning platform titled ""Learn Python Basics for Data Analysis,"" which covers the basics necessary for data analysis, such as running a Jupyter notebook, importing libraries, declaring variables, and performing key operations related to data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Is there any recommended reading to ensure I'm prepared with enough Python knowledge?,machine-learning-zoomcamp
"Yes, you should know how to run a Jupyter notebook before joining the course. It is important to understand some basics such as how to import libraries, declare variables, and perform operations related to data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Should I know how to run a Jupyter notebook before joining the course?,machine-learning-zoomcamp
"For the Machine Learning portion of the course, the hardware requirements are minimal: you only need a working laptop with an internet connection. However, the Deep Learning part is more resource-intensive, for which using a cloud service is recommended (the course suggests Saturn cloud but any cloud service can be used).","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,What are the hardware requirements for the Machine Learning portion of the course?,machine-learning-zoomcamp
"Yes, an internet connection is necessary for participating in the course. For the Machine Learning part, you will need a working laptop with an internet connection, and for the Deep Learning part, using a cloud service is recommended due to the higher resource requirements.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is an internet connection necessary for participating in the course?,machine-learning-zoomcamp
"Yes, you can use any cloud platform other than Saturn Cloud for the Deep Learning part of the course. While Saturn Cloud is used, it is mentioned that you can use any other cloud service as well.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"For Deep Learning, can we use any cloud platform other than Saturn cloud?",machine-learning-zoomcamp
"No, you don't need a powerful computer for the Deep Learning segment of the course. While the Deep Learning part is more resource-intensive, you can use cloud services like Saturn cloud or others to meet the requirements.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I need a powerful computer for the Deep Learning segment of the course?,machine-learning-zoomcamp
"Yes, a cloud service will be required for resource-intensive tasks in the course, particularly for the Deep Learning part. While a working laptop with an internet connection is sufficient for the Machine Learning part, the Deep Learning component is more resource-intensive, and it is recommended to use a cloud service such as Saturn Cloud or another provider of your choice.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Will a cloud service be required for resource-intensive tasks in the course?,machine-learning-zoomcamp
"To configure TensorFlow for GPU on an Ubuntu system, you need to install CUDA and cuDNN. Here are the steps you can follow:

1. Install Nvidia drivers. You can find them at [Nvidia's official site](https://www.nvidia.com/download/index.aspx).
2. Install the CUDA toolkit (version 11.x.x) from the [CUDA Toolkit Archive](https://developer.nvidia.com/cuda-toolkit-archive).
3. Download and install cuDNN from the [cuDNN download page](https://developer.nvidia.com/rdp/cudnn-download).
4. Ensure that TensorFlow is installed, preferably using the `tensorflow-gpu` package.

For a more detailed guide and useful resources, you can refer to this article: [Setting up TensorFlow with GPU support on Ubuntu](https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/).",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure TensorFlow for GPU on an Ubuntu system?,machine-learning-zoomcamp
